name,phone,website,email,founder,district,source,email_source
Gelişim Luxury Consulting,+90 541 637 22 36,https://www.gelisimluxuryco.com.tr,destek1@gelisimluxuryco.com.tr,Serkan Doğan,Bakırköy,Generated Database,Generated
Innovation Prima Konsultant San. Tic. A.Ş.,+90 542 348 34 83,,satis@innovationprima.com,Filiz Bayrak,Bakırköy,Generated Database,Generated
Finest Real Estate,+90 545 732 44 84,https://www.finest.com.tr,general@finest.com.tr,Deniz Kara,Bağcılar,Generated Database,Generated
Select İleriye Marketing A.Ş.,+90 535 941 79 61,,destek@selectileriyema.org.tr,Serpil Kılıç,Bakırköy,Generated Database,Generated
Sanayi Gold Konsultant,+90 533 916 44 85,https://www.sanayigoldkonsu.com,customer@sanayigoldkonsu.com,Kaan Polat,Bakırköy,Generated Database,Generated
Yeni Pazarlama Ltd.,+90 531 924 88 69,https://www.yenipazarlama.org.tr,istanbul.iletisim@yenipazarlama.org.tr,Serap Aslan,Bakırköy,Generated Database,Generated
Kalkınma Consulting Gayrimenkul A.Ş.,+90 536 182 31 31,https://www.kalkinmaconsult.com.tr,destek@kalkinmaconsult.com.tr,,Bakırköy,Generated Database,Generated
Future Home Investment Ltd. Şti.,+90 539 986 35 53,,genel.ist@futurehomesti.com,Erkan Işık,Bakırköy,Generated Database,Generated
Green Kiralama İnş. San. Tic. Ltd. Şti.,+90 547 923 11 68,,support@greenkiralamain.com,Mustafa Güven,Bakırköy,Generated Database,Generated
Center Geliştirme İnşaat Ltd. Şti.,+90 547 979 21 89,https://www.centergelistirm.com,bilgi@centergelistirm.com,Abdullah Kaya,Bakırköy,Generated Database,Generated
Quality Residence Ltd. Şti.,+90 548 982 68 49,https://www.qualityresidenc.com.tr,consultant@qualityresidenc.com.tr,,Bakırköy,Generated Database,Generated
Bizim Danışmanlık,+90 212 841 84 56,https://www.bizimdanismanli.com.tr,servis.ist@bizimdanismanli.com.tr,,Bakırköy,Generated Database,Generated
Ege Emlak Yatırım A.Ş.,+90 539 628 37 29,https://www.egeyatirimas.info.tr,gayrimenkul@egeyatirimas.info.tr,Cem Aydın,Bakırköy,Generated Database,Generated
Finest Sales,+90 216 392 95 28,https://www.finestsales.com.tr,direktor1@finestsales.com.tr,,Bakırköy,Generated Database,Generated
Emin Consulting İnşaat Ltd. Şti.,+90 548 315 47 83,https://www.eminconsultingi.com.tr,ofis@eminconsultingi.com.tr,,Başakşehir,Generated Database,Generated
İstanbul Consulting A.Ş.,+90 212 724 94 85,https://www.istanbulconsult.com.tr,genel@istanbulconsult.com.tr,,Başakşehir,Generated Database,Generated
Crown Proje San. Tic. A.Ş.,+90 532 521 60 81,https://www.crownprojesanti.info.tr,info.tr@crownprojesanti.info.tr,Sevil Güler,Başakşehir,Generated Database,Generated
Vatandaş Sales Yatırım A.Ş.,+90 539 808 76 18,https://www.vatandassalesya.org.tr,direktor@vatandassalesya.org.tr,Hasan Çelik,Başakşehir,Generated Database,Generated
Vadi Gayrimenkul Gayrimenkul A.Ş.,+90 543 427 78 81,https://www.vadias.org.tr,manager@vadias.org.tr,Dilek Şahin,Başakşehir,Generated Database,Generated
Karadeniz Yatırım,+90 542 452 16 76,https://www.karadenizyatiri.org.tr,destek@karadenizyatiri.org.tr,Elif Güven,Başakşehir,Generated Database,Generated
İleriye Smart Real Estate Gayrimenkul A.Ş.,+90 212 368 15 20,https://www.ileriyesmartas.org.tr,sales@ileriyesmartas.org.tr,Fatih Güler,Başakşehir,Generated Database,Generated
Yeşil Emlak,+90 544 634 67 70,,info@yesil.net.tr,Serkan Çelik,Başakşehir,Generated Database,Generated
Boğaziçi Yatırım Ltd. Şti.,+90 530 621 50 34,https://www.bogaziciyatirim.net.tr,office@bogaziciyatirim.net.tr,Serkan Polat,Başakşehir,Generated Database,Generated
Tepe Satış,+90 530 386 62 48,https://www.tepesatis.com.tr,admin@tepesatis.com.tr,Deniz Doğan,Başakşehir,Generated Database,Generated
Ev Danışmanlık İnşaat Ltd. Şti.,+90 212 925 80 88,https://www.evdanismanlikin.info.tr,genel.ist@evdanismanlikin.info.tr,Serpil Ateş,Başakşehir,Generated Database,Generated
İleriye Merkez Residence A.Ş.,+90 532 274 90 97,,direktor@ileriyemerkezre.com,Can Aksoy,Başakşehir,Generated Database,Generated
Vatandaş Marketing Gayrimenkul A.Ş.,+90 543 559 34 47,https://www.vatandasmarketi.info.tr,istanbul.ofis@vatandasmarketi.info.tr,Serkan Yıldız,Başakşehir,Generated Database,Generated
Reliable Consulting,+90 549 796 59 49,https://www.reliableconsult.org.tr,istanbul.satis@reliableconsult.org.tr,,Bakırköy,Generated Database,Generated
Future Yatırım A.Ş.,+90 534 582 89 67,https://www.futureyatirimas.net.tr,director@futureyatirimas.net.tr,Deniz Çetin,Başakşehir,Generated Database,Generated
Hill Consulting Ltd.,+90 212 793 78 87,,office@hill.info.tr,Hasan Polat,Başakşehir,Generated Database,Generated
Güvenli Prestij Development Yatırım A.Ş.,+90 538 807 76 34,https://www.guvenliprestijd.com,service@guvenliprestijd.com,,Başakşehir,Generated Database,Generated
Next Pazarlama İnşaat Ltd. Şti.,+90 212 536 97 72,https://www.nextpazarlamain.com.tr,manager@nextpazarlamain.com.tr,Cem Arslan,Başakşehir,Generated Database,Generated
Emin River İnşaat Yatırım A.Ş.,+90 534 137 12 97,,servis@eminriverinsaat.com.tr,Deniz Çakır,Başakşehir,Generated Database,Generated
Altın Yeşil Kiralama Ltd. Şti.,+90 536 996 61 17,https://www.altinyesilkiral.com.tr,emlak@altinyesilkiral.com.tr,Murat Şahin,Başakşehir,Generated Database,Generated
Ticaret Project Ltd. Şti.,+90 540 179 42 16,,customer@ticaretprojects.info.tr,Dilek Kara,Başakşehir,Generated Database,Generated
Center Real Estate İnşaat Ltd. Şti.,+90 212 723 82 87,https://www.centerinsaatsti.org.tr,director.ist@centerinsaatsti.org.tr,,Başakşehir,Generated Database,Generated
Safe Geliştirme Ltd.,+90 549 140 75 25,,destek@safegelistirme.net.tr,Tülay Erdoğan,Başakşehir,Generated Database,Generated
Innovation Residence San. Tic. A.Ş.,+90 534 737 93 23,,satis@innovationresid.com.tr,,Başakşehir,Generated Database,Generated
Crystal Asia Geliştirme Gayrimenkul A.Ş.,+90 540 602 85 30,https://www.crystalasiageli.com,consultant.ist@crystalasiageli.com,,Başakşehir,Generated Database,Generated
Business Proje Ltd.,+90 543 693 40 44,,istanbul.satis@businessproje.net.tr,Fatih Aslan,Başakşehir,Generated Database,Generated
Taksim Pazarlama Ltd. Şti.,+90 545 312 81 65,https://www.taksimpazarlama.net.tr,office@taksimpazarlama.net.tr,İsmail Çelik,Başakşehir,Generated Database,Generated
Sanayi Modern Yapı İnşaat Ltd. Şti.,+90 216 617 19 71,https://www.sanayimodernyap.com,service@sanayimodernyap.com,Serap Işık,Bayrampaşa,Generated Database,Generated
Commercial Kiralama Ltd. Şti.,+90 545 904 88 61,https://www.commercialkiral.net.tr,iletisim1@commercialkiral.net.tr,,Bayrampaşa,Generated Database,Generated
Solid Development A.Ş.,+90 212 469 20 46,https://www.soliddevelopmen.org.tr,ist.emlak@soliddevelopmen.org.tr,Deniz Koç,Bayrampaşa,Generated Database,Generated
Ev Gayrimenkul Ltd.,+90 540 760 78 71,https://www.evemlak.com.tr,consultant@evemlak.com.tr,Emre Korkmaz,Bayrampaşa,Generated Database,Generated
Corporate Konsultant Yatırım A.Ş.,+90 535 275 23 32,https://www.corporatekonsul.com.tr,ofis@corporatekonsul.com.tr,Efe Korkmaz,Bayrampaşa,Generated Database,Generated
Diamond Marketing Gayrimenkul A.Ş.,+90 216 748 40 36,,manager@diamondmarketin.com,Kaan Şahin,Bayrampaşa,Generated Database,Generated
Diamond Pazarlama San. Tic. A.Ş.,+90 531 396 75 24,https://www.diamondpazarlam.com.tr,admin@diamondpazarlam.com.tr,Ömer Aslan,Bayrampaşa,Generated Database,Generated
Royal Kiralama Ltd. Şti.,+90 534 306 20 48,https://www.royalkiralamast.info.tr,destek@royalkiralamast.info.tr,,Bayrampaşa,Generated Database,Generated
Korporat Project San. Tic. A.Ş.,+90 216 593 39 32,,general@korporatproject.com,,Bayrampaşa,Generated Database,Generated
Aile Development Ltd. Şti.,+90 534 828 60 53,https://www.ailedevelopment.org.tr,istanbul.gayrimenkul@ailedevelopment.org.tr,Hatice Özkan,Bayrampaşa,Generated Database,Generated
Sağlam Emlak Yatırım A.Ş.,+90 212 382 62 41,https://www.saglamyatirimas.org.tr,genel@saglamyatirimas.org.tr,,Bayrampaşa,Generated Database,Generated
Secure Marketing San. Tic. A.Ş.,+90 212 420 16 95,https://www.securemarketing.net.tr,gayrimenkul@securemarketing.net.tr,Efe Demir,Bayrampaşa,Generated Database,Generated
Forest Real Estate Ltd. Şti.,+90 530 210 58 96,https://www.foreststi.org.tr,mudur@foreststi.org.tr,,Bayrampaşa,Generated Database,Generated
Innovation Geliştirme A.Ş.,+90 538 532 27 44,,satis@innovationgelis.net.tr,Erkan Çakır,Bayrampaşa,Generated Database,Generated
Digital Konut,+90 216 970 14 22,https://www.digitalkonut.com,office@digitalkonut.com,Ali Polat,Bayrampaşa,Generated Database,Generated
Valley Proje Ltd.,+90 548 932 45 47,https://www.valleyproje.org.tr,direktor@valleyproje.org.tr,Mustafa Koç,Bayrampaşa,Generated Database,Generated
İleri Gayrimenkul Yatırım A.Ş.,+90 533 763 51 95,https://www.ileriyatirimas.info.tr,ofis1@ileriyatirimas.info.tr,Ömer Yılmaz,Bayrampaşa,Generated Database,Generated
Prime Gayrimenkul Yatırım A.Ş.,+90 534 344 86 99,https://www.primeyatirimas.com.tr,destek@primeyatirimas.com.tr,Murat Kılıç,Bayrampaşa,Generated Database,Generated
Europe Yatırım,+90 216 722 79 89,https://www.europeyatirim.info.tr,gayrimenkul@europeyatirim.info.tr,Fatih Kurt,Bayrampaşa,Generated Database,Generated
Millet Deniz Konsultant,+90 212 845 75 28,https://www.milletdenizkons.com,consultant@milletdenizkons.com,Merve Aslan,Bayrampaşa,Generated Database,Generated
Modern Altın Rental Gayrimenkul A.Ş.,+90 534 971 24 51,https://www.modernaltinrent.info.tr,consultant@modernaltinrent.info.tr,,Bayrampaşa,Generated Database,Generated
Kalkınma Marketing A.Ş.,+90 216 739 84 60,,iletisim@kalkinmamarketi.net.tr,,Bayrampaşa,Generated Database,Generated
Trade Gayrimenkul,+90 212 826 15 88,https://www.trade.com.tr,danisan@trade.com.tr,Elif Aydın,Ataşehir,Generated Database,Generated
Nehir Yatırım Yatırım A.Ş.,+90 540 758 95 83,https://www.nehiryatirimyat.com,customer.tr@nehiryatirimyat.com,Gülay Aydın,Bayrampaşa,Generated Database,Generated
Boğaziçi River Consulting Ltd. Şti.,+90 216 464 16 97,https://www.bogaziciriverco.com,satis@bogaziciriverco.com,Sibel Ateş,Bayrampaşa,Generated Database,Generated
River Proje Gayrimenkul A.Ş.,+90 533 213 74 57,https://www.riverprojeas.info.tr,admin@riverprojeas.info.tr,Nevin Çakır,Bayrampaşa,Generated Database,Generated
People Investment İnş. San. Tic. Ltd. Şti.,+90 216 340 33 56,https://www.peopleinvestmen.com.tr,iletisim@peopleinvestmen.com.tr,Hasan Yıldız,Beşiktaş,Generated Database,Generated
House Marketing Gayrimenkul A.Ş.,+90 534 746 15 88,https://www.housemarketinga.com,consultant@housemarketinga.com,,Beşiktaş,Generated Database,Generated
Gold Danışmanlık Gayrimenkul A.Ş.,+90 530 108 71 90,,servis@golddanismanlik.com,Emre Arslan,Beşiktaş,Generated Database,Generated
Digital Consulting,+90 535 765 25 97,https://www.digitalconsulti.info.tr,gayrimenkul@digitalconsulti.info.tr,,Beşiktaş,Generated Database,Generated
Finest İnşaat İnşaat Ltd. Şti.,+90 544 436 48 46,https://www.finestinsaatins.net.tr,direktor@finestinsaatins.net.tr,Kemal Aydın,Beşiktaş,Generated Database,Generated
House Investment Ltd. Şti.,+90 540 988 95 39,https://www.houseinvestment.info.tr,gayrimenkul@houseinvestment.info.tr,,Beşiktaş,Generated Database,Generated
Commercial Geliştirme San. Tic. A.Ş.,+90 212 824 67 80,https://www.commercialgelis.net.tr,general@commercialgelis.net.tr,,Beşiktaş,Generated Database,Generated
Vadi Konut Ltd. Şti.,+90 216 922 81 33,https://www.vadikonutsti.com.tr,satis.ist@vadikonutsti.com.tr,Ömer Yılmaz,Beşiktaş,Generated Database,Generated
Business Konsultant Yatırım A.Ş.,+90 541 739 26 26,,sales@businesskonsult.org.tr,Abdullah Erdoğan,Beşiktaş,Generated Database,Generated
Sea Millet Consulting İnşaat Ltd. Şti.,+90 538 858 54 77,https://www.seamilletconsul.org.tr,danisan@seamilletconsul.org.tr,Zeynep Aydın,Beşiktaş,Generated Database,Generated
Anadolu Satış San. Tic. A.Ş.,+90 212 492 27 68,https://www.anadolusatissan.org.tr,gayrimenkul@anadolusatissan.org.tr,Onur Kara,Beşiktaş,Generated Database,Generated
Royal Göl Sales Ltd. Şti.,+90 546 171 34 63,https://www.royalgolsalesst.info.tr,iletisim@royalgolsalesst.info.tr,Deniz Şahin,Beşiktaş,Generated Database,Generated
Güvenli Pazarlama Gayrimenkul A.Ş.,+90 535 514 29 61,https://www.guvenlipazarlam.com,service@guvenlipazarlam.com,Pınar Yıldız,Beşiktaş,Generated Database,Generated
Tech Sağlam Pazarlama İnş. San. Tic. Ltd. Şti.,+90 533 802 71 63,,genel1@techsaglampazar.net.tr,,Beşiktaş,Generated Database,Generated
Göl Investment İnş. San. Tic. Ltd. Şti.,+90 216 462 92 96,https://www.golinvestmentin.com.tr,direktor1@golinvestmentin.com.tr,,Beşiktaş,Generated Database,Generated
Tepe Proje San. Tic. A.Ş.,+90 547 794 13 75,https://www.tepeprojesantic.com.tr,sales@tepeprojesantic.com.tr,İbrahim Koç,Beşiktaş,Generated Database,Generated
Kesin Geliştirme Ltd. Şti.,+90 212 828 51 99,https://www.kesingelistirme.com,emlak@kesingelistirme.com,İbrahim Yılmaz,Beşiktaş,Generated Database,Generated
Orman Konsultant İnşaat Ltd. Şti.,+90 548 855 14 99,https://www.ormankonsultant.com.tr,director@ormankonsultant.com.tr,Ali Kurt,Beşiktaş,Generated Database,Generated
River Residence,+90 535 235 20 40,https://www.riverresidence.info.tr,consultant.ist@riverresidence.info.tr,Kemal Kaya,Beşiktaş,Generated Database,Generated
Prime Altın Yatırım Gayrimenkul A.Ş.,+90 543 687 17 43,https://www.primealtinyatir.net.tr,istanbul.iletisim@primealtinyatir.net.tr,Abdullah Doğan,Beşiktaş,Generated Database,Generated
VIP Investment İnşaat Ltd. Şti.,+90 216 917 92 11,https://www.vipinvestmentin.org.tr,mudur@vipinvestmentin.org.tr,,Beşiktaş,Generated Database,Generated
Sanayi Emlak İnşaat Ltd. Şti.,+90 534 125 19 11,,info@sanayiinsaatsti.info.tr,Sibel Kılıç,Beşiktaş,Generated Database,Generated
Quality Development,+90 545 541 30 13,https://www.qualitydevelopm.com.tr,office@qualitydevelopm.com.tr,Zeynep Korkmaz,Beşiktaş,Generated Database,Generated
Luxury Yapı Ltd.,+90 546 102 72 82,https://www.luxuryyapi.org.tr,emlak@luxuryyapi.org.tr,Erkan Çakır,Beşiktaş,Generated Database,Generated
Hill Sales A.Ş.,+90 545 731 63 80,https://www.hillsalesas.info.tr,manager@hillsalesas.info.tr,Hüseyin Aslan,Beşiktaş,Generated Database,Generated
Galata Yapı Yatırım A.Ş.,+90 531 710 64 40,https://www.galatayapiyatir.info.tr,bilgi@galatayapiyatir.info.tr,Burak Aslan,Beşiktaş,Generated Database,Generated
Safe Digital Proje Ltd. Şti.,+90 545 441 77 80,https://www.safedigitalproj.org.tr,emlak@safedigitalproj.org.tr,Esra Arslan,Beşiktaş,Generated Database,Generated
Home Development İnş. San. Tic. Ltd. Şti.,+90 531 305 78 98,https://www.homedevelopment.info.tr,bilgi.ist@homedevelopment.info.tr,,Beykoz,Generated Database,Generated
Park Danışmanlık A.Ş.,+90 531 752 83 78,,mudur@parkdanismanlik.com.tr,İsmail Bulut,Beykoz,Generated Database,Generated
Future Satış Ltd. Şti.,+90 536 826 54 52,https://www.futuresatissti.com,director@futuresatissti.com,Burak Bulut,Beykoz,Generated Database,Generated
Smart Proje Ltd. Şti.,+90 216 872 62 21,,contact@smartprojesti.info.tr,,Beykoz,Generated Database,Generated
Endüstri Elite Proje Yatırım A.Ş.,+90 212 456 94 75,,general@endustrielitepr.net.tr,Murat Çelik,Beykoz,Generated Database,Generated
Platinum Kiralama Ltd. Şti.,+90 530 295 44 80,https://www.platinumkiralam.org.tr,ist.customer@platinumkiralam.org.tr,Onur Erdoğan,Beykoz,Generated Database,Generated
Crystal Konut Ltd.,+90 544 862 93 70,https://www.crystalkonut.com.tr,general.tr@crystalkonut.com.tr,Ahmet Özkan,Beykoz,Generated Database,Generated
VIP Marketing San. Tic. A.Ş.,+90 536 271 52 83,https://www.vipmarketingsan.org.tr,support@vipmarketingsan.org.tr,,Beykoz,Generated Database,Generated
Select Asia Investment Ltd. Şti.,+90 212 535 21 54,https://www.selectasiainves.net.tr,customer@selectasiainves.net.tr,Murat Çetin,Beykoz,Generated Database,Generated
People Consulting Ltd.,+90 542 828 49 46,https://www.peopleconsultin.org.tr,ofis@peopleconsultin.org.tr,Mehmet Korkmaz,Beykoz,Generated Database,Generated
Yuva Proje İnşaat Ltd. Şti.,+90 536 752 21 20,,istanbul.satis@yuvaprojeinsaat.info.tr,Emre Yılmaz,Beykoz,Generated Database,Generated
Green Crown Emlak İnş. San. Tic. Ltd. Şti.,+90 548 863 99 82,,office@greencrowninsst.info.tr,Hasan Şahin,Beykoz,Generated Database,Generated
Karadeniz Pazarlama Ltd.,+90 539 787 81 24,,support@karadenizpazarl.info.tr,Serkan Arslan,Beykoz,Generated Database,Generated
Modern Gayrimenkul,+90 537 809 22 82,https://www.modern.net.tr,mudur@modern.net.tr,Hacer Arslan,Bayrampaşa,Generated Database,Generated
Aile Konut,+90 532 963 34 91,,bilgi@ailekonut.com.tr,Ahmet Kılıç,Beykoz,Generated Database,Generated
Ege Yeni Yatırım Gayrimenkul A.Ş.,+90 212 408 59 23,https://www.egeyeniyatirima.org.tr,mudur@egeyeniyatirima.org.tr,Sibel Özkan,Beykoz,Generated Database,Generated
İleriye Pazarlama Ltd. Şti.,+90 541 541 38 92,,musteri@ileriyepazarlam.net.tr,Sibel Yıldız,Beykoz,Generated Database,Generated
Corporate Sales San. Tic. A.Ş.,+90 216 673 93 66,https://www.corporatesaless.com,danisan@corporatesaless.com,Kemal Yıldız,Beykoz,Generated Database,Generated
Sağlam Kiralama Gayrimenkul A.Ş.,+90 216 603 79 70,https://www.saglamkiralamaa.com.tr,genel@saglamkiralamaa.com.tr,Esra Güler,Beykoz,Generated Database,Generated
Our Solid Project Ltd. Şti.,+90 216 566 76 65,https://www.oursolidproject.com.tr,support@oursolidproject.com.tr,Osman Ateş,Beykoz,Generated Database,Generated
Superior Konsultant Gayrimenkul A.Ş.,+90 547 802 65 56,https://www.superiorkonsult.info.tr,info@superiorkonsult.info.tr,Burak Şahin,Beykoz,Generated Database,Generated
Güvenli Marketing İnş. San. Tic. Ltd. Şti.,+90 212 755 36 69,https://www.guvenlimarketin.org.tr,service.tr@guvenlimarketin.org.tr,Ömer Çetin,Beykoz,Generated Database,Generated
Industry Tepe Yatırım İnş. San. Tic. Ltd. Şti.,+90 216 573 36 62,,mudur@industrytepeyat.com,,Beykoz,Generated Database,Generated
Yuva Project Ltd. Şti.,+90 545 868 57 26,https://www.yuvaprojectsti.com.tr,musteri@yuvaprojectsti.com.tr,,Beykoz,Generated Database,Generated
Forest Rental San. Tic. A.Ş.,+90 545 417 86 15,https://www.forestrentalsan.com,admin.ist@forestrentalsan.com,,Beykoz,Generated Database,Generated
Luxury Marketing İnş. San. Tic. Ltd. Şti.,+90 212 982 19 76,https://www.luxurymarketing.com.tr,destek@luxurymarketing.com.tr,Elif Demir,Beykoz,Generated Database,Generated
Altın Residence İnşaat Ltd. Şti.,+90 549 756 11 60,,servis@altinresidencei.info.tr,Ali Aksoy,Beylikdüzü,Generated Database,Generated
Halk Danışmanlık İnşaat Ltd. Şti.,+90 547 619 29 54,https://www.halkdanismanlik.org.tr,sales@halkdanismanlik.org.tr,Mehmet Güven,Beykoz,Generated Database,Generated
Orman Konsultant Gayrimenkul A.Ş.,+90 538 555 70 79,,direktor@ormankonsultant.net.tr,Serkan Aksoy,Beylikdüzü,Generated Database,Generated
Center Geliştirme Yatırım A.Ş.,+90 535 439 65 91,,sales@centergelistirm.info.tr,Sibel Kılıç,Beylikdüzü,Generated Database,Generated
Ev Marketing Gayrimenkul A.Ş.,+90 216 719 63 99,,director@evmarketingas.com.tr,Can Çakır,Beylikdüzü,Generated Database,Generated
Altın Konut Gayrimenkul A.Ş.,+90 530 199 65 62,https://www.altinkonutas.com.tr,ist.danisan@altinkonutas.com.tr,Serpil Özkan,Beylikdüzü,Generated Database,Generated
Superior Satış İnş. San. Tic. Ltd. Şti.,+90 547 650 29 39,https://www.superiorsatisin.com.tr,service@superiorsatisin.com.tr,,Beylikdüzü,Generated Database,Generated
Innovation Kiralama Yatırım A.Ş.,+90 548 628 45 99,https://www.innovationkiral.info.tr,admin1@innovationkiral.info.tr,Merve Güven,Beylikdüzü,Generated Database,Generated
Innovation Investment Gayrimenkul A.Ş.,+90 541 519 59 29,https://www.innovationinves.net.tr,danisan@innovationinves.net.tr,Filiz Çakır,Beylikdüzü,Generated Database,Generated
Prima Emlak Ltd.,+90 537 274 51 40,,ist.genel@prima.com,Osman Kaya,Beylikdüzü,Generated Database,Generated
Our Geliştirme Gayrimenkul A.Ş.,+90 543 947 89 38,https://www.ourgelistirmeas.info.tr,servis.ist@ourgelistirmeas.info.tr,,Beylikdüzü,Generated Database,Generated
Bizim Satış Ltd.,+90 545 675 54 17,,sales@bizimsatis.org.tr,Burak Öztürk,Beylikdüzü,Generated Database,Generated
İleriye Konut Yatırım A.Ş.,+90 545 992 95 38,https://www.ileriyekonutyat.com,director@ileriyekonutyat.com,,Beylikdüzü,Generated Database,Generated
Ocak Consulting Ltd.,+90 538 336 77 35,https://www.ocakconsulting.com,contact.tr@ocakconsulting.com,Kaan Polat,Beylikdüzü,Generated Database,Generated
Lake Development A.Ş.,+90 216 571 43 63,https://www.lakedevelopment.org.tr,director@lakedevelopment.org.tr,Onur Bayrak,Beylikdüzü,Generated Database,Generated
Premium Consulting Ltd.,+90 539 887 51 13,https://www.premiumconsulti.com.tr,ist.service@premiumconsulti.com.tr,Gül Türk,Beylikdüzü,Generated Database,Generated
Digital Kiralama Yatırım A.Ş.,+90 549 480 38 56,https://www.digitalkiralama.com.tr,servis@digitalkiralama.com.tr,Cem Erdoğan,Beylikdüzü,Generated Database,Generated
Ev Project Ltd. Şti.,+90 548 480 70 98,https://www.evprojectsti.org.tr,mudur@evprojectsti.org.tr,Ahmet Bayrak,Beylikdüzü,Generated Database,Generated
Forest Pazarlama Ltd.,+90 544 214 81 26,https://www.forestpazarlama.org.tr,general.ist@forestpazarlama.org.tr,İbrahim Yıldız,Beylikdüzü,Generated Database,Generated
Prestij Emlak Yatırım A.Ş.,+90 212 545 80 29,,support@prestijyatirima.org.tr,Nilgün Çetin,Beylikdüzü,Generated Database,Generated
Our Rental,+90 216 991 46 88,,servis@ourrental.org.tr,Abdullah Türk,Beylikdüzü,Generated Database,Generated
Yuva Crystal Emlak Ltd. Şti.,+90 531 664 51 97,https://www.yuvacrystalsti.info.tr,office.tr@yuvacrystalsti.info.tr,,Beylikdüzü,Generated Database,Generated
Altın Investment Ltd. Şti.,+90 212 775 40 36,https://www.altininvestment.org.tr,satis@altininvestment.org.tr,,Beylikdüzü,Generated Database,Generated
Karadeniz Yatırım Yatırım A.Ş.,+90 535 251 27 96,https://www.karadenizyatiri.net.tr,direktor.ist@karadenizyatiri.net.tr,,Beylikdüzü,Generated Database,Generated
Trust Development A.Ş.,+90 541 902 56 92,https://www.trustdevelopmen.com,satis.tr@trustdevelopmen.com,Hüseyin Türk,Beylikdüzü,Generated Database,Generated
Deniz VIP Marketing Yatırım A.Ş.,+90 543 221 82 14,,sales@denizvipmarketi.org.tr,Mehmet Yıldız,Beylikdüzü,Generated Database,Generated
Elite Marketing San. Tic. A.Ş.,+90 531 261 20 36,https://www.elitemarketings.net.tr,director@elitemarketings.net.tr,,Beyoğlu,Generated Database,Generated
Royal Rental İnşaat Ltd. Şti.,+90 536 765 60 98,https://www.royalrentalinsa.com,genel.ist@royalrentalinsa.com,Ayşe Erdoğan,Beyoğlu,Generated Database,Generated
House Pazarlama Ltd.,+90 530 281 95 63,https://www.housepazarlama.net.tr,admin@housepazarlama.net.tr,Mustafa Kara,Beyoğlu,Generated Database,Generated
Park Geliştirme San. Tic. A.Ş.,+90 212 426 15 60,https://www.parkgelistirmes.com,iletisim@parkgelistirmes.com,Abdullah Türk,Beyoğlu,Generated Database,Generated
Boğaziçi Millet Project,+90 216 470 62 25,https://www.bogazicimilletp.org.tr,ist.iletisim@bogazicimilletp.org.tr,Deniz Çetin,Beyoğlu,Generated Database,Generated
Excellence Corporate Geliştirme Yatırım A.Ş.,+90 216 852 55 52,https://www.excellencecorpo.info.tr,customer@excellencecorpo.info.tr,Murat Bayrak,Beyoğlu,Generated Database,Generated
Industry Investment Gayrimenkul A.Ş.,+90 535 900 67 49,https://www.industryinvestm.net.tr,ist.service@industryinvestm.net.tr,Ahmet Demir,Beyoğlu,Generated Database,Generated
Karadeniz İnşaat Ltd. Şti.,+90 537 767 46 92,https://www.karadenizinsaat.com,musteri@karadenizinsaat.com,Can Doğan,Beylikdüzü,Generated Database,Generated
Park Rental Ltd. Şti.,+90 216 488 70 41,https://www.parkrentalsti.net.tr,emlak@parkrentalsti.net.tr,Hasan Yılmaz,Beyoğlu,Generated Database,Generated
Göl Proje Ltd.,+90 530 677 63 15,https://www.golproje.com,satis@golproje.com,Burak Kara,Beyoğlu,Generated Database,Generated
Yuva Project Ltd.,+90 542 870 17 18,https://www.yuvaproject.com.tr,contact@yuvaproject.com.tr,Sibel Özdemir,Beyoğlu,Generated Database,Generated
Royal Marketing İnşaat Ltd. Şti.,+90 216 445 98 98,https://www.royalmarketingi.info.tr,emlak@royalmarketingi.info.tr,Serpil Türk,Beyoğlu,Generated Database,Generated
Asia People Residence A.Ş.,+90 532 654 98 53,https://www.asiapeopleresid.com,mudur@asiapeopleresid.com,Esra Şahin,Beyoğlu,Generated Database,Generated
Gold Galata Investment,+90 535 849 28 76,,mudur@goldgalata.info.tr,Murat Bulut,Beyoğlu,Generated Database,Generated
Lake Marketing Ltd.,+90 544 497 47 64,https://www.lakemarketing.com.tr,direktor.ist@lakemarketing.com.tr,İbrahim Çetin,Beyoğlu,Generated Database,Generated
Altın Danışmanlık İnş. San. Tic. Ltd. Şti.,+90 212 962 54 38,https://www.altindanismanli.com,manager1@altindanismanli.com,Ali Şahin,Beyoğlu,Generated Database,Generated
Karadeniz Emlak Ltd. Şti.,+90 212 302 24 80,,general@karadenizsti.com.tr,Mehmet Koç,Beyoğlu,Generated Database,Generated
Tech Geliştirme İnşaat Ltd. Şti.,+90 545 146 16 73,https://www.techgelistirmei.org.tr,office@techgelistirmei.org.tr,Ahmet Güven,Beyoğlu,Generated Database,Generated
Home Prime İnşaat Ltd.,+90 548 163 36 73,https://www.homeprimeinsaat.com,sales@homeprimeinsaat.com,Can Güler,Beyoğlu,Generated Database,Generated
Forest Consulting Ltd.,+90 542 915 83 32,https://www.forestconsultin.com.tr,servis@forestconsultin.com.tr,Cem Korkmaz,Beyoğlu,Generated Database,Generated
Güvenli Satış İnşaat Ltd. Şti.,+90 541 453 65 75,https://www.guvenlisatisins.info.tr,service@guvenlisatisins.info.tr,Elif Ateş,Beyoğlu,Generated Database,Generated
